species,state,section,metric,value
Artemisia_annua,after,mrna,Number of intron in three_prime_utr,8168.0
Artemisia_annua,after,mrna,Number gene overlapping,931.0
Artemisia_annua,after,mrna,Number of single exon gene,7932.0
Artemisia_annua,after,mrna,Number of single exon mrna,7932.0
Artemisia_annua,after,mrna,mean mrnas per gene,1.0
Artemisia_annua,after,mrna,mean cdss per mrna,1.0
Artemisia_annua,after,mrna,mean exons per mrna,5.2
Artemisia_annua,after,mrna,mean five_prime_utrs per mrna,0.9
Artemisia_annua,after,mrna,mean three_prime_utrs per mrna,0.9
Artemisia_annua,after,mrna,mean exons per cds,4.7
Artemisia_annua,after,mrna,mean exons per five_prime_utr,1.3
Artemisia_annua,after,mrna,mean exons per three_prime_utr,1.2
Artemisia_annua,after,mrna,mean introns in cdss per mrna,3.7
Artemisia_annua,after,mrna,mean introns in exons per mrna,4.2
Artemisia_annua,after,mrna,mean introns in five_prime_utrs per mrna,0.3
Artemisia_annua,after,mrna,mean introns in three_prime_utrs per mrna,0.2
Artemisia_annua,after,mrna,Total gene length (bp),166733435.0
Artemisia_annua,after,mrna,Total mrna length (bp),166733435.0
Artemisia_annua,after,mrna,Total cds length (bp),49276449.0
Artemisia_annua,after,mrna,Total exon length (bp),77960067.0
Artemisia_annua,after,mrna,Total five_prime_utr length (bp),11804866.0
Artemisia_annua,after,mrna,Total three_prime_utr length (bp),16878752.0
Artemisia_annua,after,mrna,Total intron length per cds (bp),69130604.0
Artemisia_annua,after,mrna,Total intron length per exon (bp),88773368.0
Artemisia_annua,after,mrna,Total intron length per five_prime_utr (bp),11323636.0
Artemisia_annua,after,mrna,Total intron length per three_prime_utr (bp),7996491.0
Artemisia_annua,after,mrna,mean gene length (bp),4240.0
Artemisia_annua,after,mrna,mean mrna length (bp),4240.0
Artemisia_annua,after,mrna,mean cds length (bp),1253.0
Artemisia_annua,after,mrna,mean exon length (bp),384.0
Artemisia_annua,after,mrna,mean five_prime_utr length (bp),339.0
Artemisia_annua,after,mrna,mean three_prime_utr length (bp),476.0
Artemisia_annua,after,mrna,mean cds piece length (bp),269.0
